Metal,Scenario,Year,Phase,Demand_Growth_pct,Supply_Growth_pct,Trade_Retention_Wedge_pp,Substitution_Relief_pp,Effective_Imbalance_pp,Demand_Level,Supply_Level,Availability_Index,Annual_Price_Growth_pct,Price,Price_Unit,Volume_Unit
Copper,Conservative,2025,Anchor,,,,,,27438.3536,27616.3536,100.6487,0.0,9947.305,US$/mt,kt
Copper,Conservative,2026,2026-2030,2.3,2.1,0.0,0.0,0.2,28069.4357,28196.297,100.452,1.9,10136.3038,US$/mt,kt
Copper,Conservative,2027,2026-2030,2.3,2.1,0.0,0.0,0.2,28715.0327,28788.4193,100.2556,1.9,10328.8936,US$/mt,kt
Copper,Conservative,2028,2026-2030,2.3,2.1,0.0,0.0,0.2,29375.4785,29392.9761,100.0596,1.9,10525.1425,US$/mt,kt
Copper,Conservative,2029,2026-2030,2.3,2.1,0.0,0.0,0.2,30051.1145,30010.2286,99.8639,1.9,10725.1203,US$/mt,kt
Copper,Conservative,2030,2026-2030,2.3,2.1,0.0,0.0,0.2,30742.2901,30640.4434,99.6687,1.9,10928.8975,US$/mt,kt
Copper,Conservative,2031,2031-2035,2.0,2.1,0.0,0.0,-0.1,31357.1359,31283.8927,99.7664,1.02,11040.3723,US$/mt,kt
Copper,Conservative,2032,2031-2035,2.0,2.1,0.0,0.0,-0.1,31984.2787,31940.8544,99.8642,1.02,11152.9841,US$/mt,kt
Copper,Conservative,2033,2031-2035,2.0,2.1,0.0,0.0,-0.1,32623.9642,32611.6124,99.9621,1.02,11266.7445,US$/mt,kt
Copper,Conservative,2034,2031-2035,2.0,2.1,0.0,0.0,-0.1,33276.4435,33296.4562,100.0601,1.02,11381.6653,US$/mt,kt
Copper,Conservative,2035,2031-2035,2.0,2.1,0.0,0.0,-0.1,33941.9724,33995.6818,100.1582,1.02,11497.7583,US$/mt,kt
