Metal,Year,Price_p10,Price_p25,Price_p50,Price_p75,Price_p90,Availability_p10,Availability_p50,Availability_p90
Copper,2025,9947.305,9947.305,9947.305,9947.305,9947.305,100.6487,100.6487,100.6487
Silver,2025,39.8047,39.8047,39.8047,39.8047,39.8047,87.5833,87.5833,87.5833
Copper,2026,9304.5496,9833.6088,10418.4099,11003.5733,11537.3714,98.084,99.0474,100.0443
Silver,2026,36.5879,39.1894,42.165,45.1463,47.8718,84.4395,85.5489,86.695
Copper,2027,9290.8557,10020.0513,10858.2341,11742.4408,12593.7231,96.4749,97.8012,99.2009
Silver,2027,36.2784,40.1074,44.581,48.9849,53.2993,81.9182,83.4078,84.9477
Copper,2028,9387.9724,10256.5119,11332.431,12463.7699,13571.1552,94.9643,96.6021,98.2327
Silver,2028,36.6972,41.2432,46.7663,52.7699,58.5754,79.5516,81.3293,83.1594
Copper,2029,9532.2868,10560.8153,11878.822,13235.7862,14527.4794,93.4854,95.3934,97.2676
Silver,2029,36.9957,42.691,49.2312,56.6532,63.8631,77.2692,79.2874,81.362
Copper,2030,9713.7972,10896.833,12387.831,13998.9977,15615.4732,92.1067,94.1639,96.2311
Silver,2030,37.7688,44.1404,51.8196,60.782,69.7582,75.098,77.3242,79.5463
Copper,2031,9803.1149,11107.4849,12731.6487,14524.8442,16405.4858,91.3673,93.5214,95.6905
Silver,2031,38.2348,45.1553,53.7824,63.5363,73.5565,73.8007,76.1215,78.4986
Copper,2032,9890.5191,11295.4267,13085.7645,15117.5753,17147.4991,90.5272,92.8118,95.0884
Silver,2032,38.8186,46.2896,55.6273,66.5125,78.0817,72.299,74.7298,77.1732
Copper,2033,10014.2703,11505.1091,13480.0022,15698.1463,17880.2025,89.7213,92.0851,94.451
Silver,2033,39.5075,47.2556,57.682,69.6997,82.5023,70.8664,73.3602,75.8789
Copper,2034,10183.5943,11777.9658,13816.9718,16226.3195,18694.0819,88.8886,91.368,93.8392
Silver,2034,40.1218,48.3478,59.7724,73.0056,86.827,69.4335,71.9876,74.5898
Copper,2035,10312.8595,11981.2891,14230.0988,16781.1151,19508.5181,88.1181,90.6389,93.2064
Silver,2035,40.7584,49.7751,61.6341,75.8787,91.9359,68.0645,70.6901,73.4072
Copper,2036,10325.6616,12109.3435,14422.6563,17156.4223,19949.0877,87.9562,90.5573,93.2129
Silver,2036,40.8235,50.3909,62.7156,77.7469,94.5497,67.5433,70.2414,72.9662
Copper,2037,10379.5895,12183.8928,14617.6444,17458.4556,20463.8205,87.7053,90.383,93.1055
Silver,2037,40.9601,50.8699,63.7401,79.5801,97.5143,66.9695,69.6852,72.4559
Copper,2038,10461.815,12285.8838,14835.6864,17812.7254,20957.791,87.427,90.2088,93.0045
Silver,2038,41.396,51.3992,64.7365,81.4002,99.8902,66.4046,69.1332,71.9831
Copper,2039,10497.1413,12386.3885,15053.0813,18169.9664,21525.48,87.2118,90.0042,92.8934
Silver,2039,41.6542,51.8675,65.8777,83.4774,102.5355,65.8358,68.5918,71.4547
Copper,2040,10548.3732,12545.9864,15273.1364,18518.8252,22000.8782,87.0152,89.8315,92.8069
Silver,2040,41.7303,52.2056,66.9577,85.4951,105.8053,65.28,68.0202,70.9669
Copper,2041,10572.6995,12659.43,15494.0297,18932.7167,22466.6658,86.7578,89.6796,92.6837
Silver,2041,42.2366,52.983,68.0896,87.6228,108.9644,64.7184,67.5208,70.4785
Copper,2042,10596.223,12798.1988,15683.8224,19253.6605,22953.7299,86.5246,89.4872,92.5963
Silver,2042,42.3675,53.6234,69.4052,89.6672,112.4726,64.1625,66.9994,69.9439
Copper,2043,10650.1664,12907.4862,15888.6119,19537.0778,23512.1733,86.2934,89.3346,92.4869
Silver,2043,42.652,54.3853,70.7141,91.8844,115.5734,63.6519,66.4687,69.4647
Copper,2044,10723.958,13048.1473,16154.7151,19906.9522,24069.8925,86.0603,89.1863,92.3674
Silver,2044,43.4038,54.6548,71.7174,93.8506,118.4991,63.0945,65.9469,68.9537
Copper,2045,10799.2727,13147.7718,16376.521,20313.3754,24550.1422,85.8073,88.984,92.263
Silver,2045,43.4836,55.2033,73.1255,96.2167,122.2373,62.537,65.4472,68.4902
Copper,2046,10827.6064,13239.7921,16578.1591,20657.1591,25098.1233,85.5942,88.8098,92.1187
Silver,2046,43.9071,55.8607,74.1737,98.8201,125.3897,62.0121,64.9363,67.9534
Copper,2047,10832.9327,13395.3493,16792.6369,21094.0268,25775.4918,85.3566,88.6372,91.9737
Silver,2047,44.161,56.7901,75.31,101.0481,129.376,61.4977,64.4239,67.4809
Copper,2048,10908.6871,13532.273,17090.4289,21523.138,26293.5908,85.165,88.4726,91.9047
Silver,2048,44.4355,57.5753,76.7907,102.7155,133.0343,60.9757,63.9286,66.9808
Copper,2049,10983.9344,13620.0854,17295.8054,21922.6024,26873.0415,84.9362,88.304,91.7367
Silver,2049,44.7678,58.2132,78.0445,105.0381,136.912,60.4763,63.4409,66.5116
Copper,2050,11052.2784,13825.5939,17558.9897,22312.2577,27498.9675,84.7321,88.1206,91.6467
Silver,2050,45.1421,59.1781,79.3351,107.4575,141.418,59.9422,62.9712,66.0694
