"Date","Value"
"12/31/1927",330.8
"01/31/1928",329.11
"02/29/1928",327.09
"03/31/1928",365.37
"04/30/1928",374.27
"05/31/1928",376.81
"06/30/1928",362.71
"07/31/1928",368.21
"08/31/1928",395.5
"09/29/1928",395.98
"10/31/1928",408.46
"11/30/1928",457.44
"12/31/1928",461.45
"01/31/1929",487.79
"02/28/1929",484.94
"03/28/1929",486.65
"04/30/1929",497.39
"05/31/1929",473.31
"06/29/1929",519.43
"07/31/1929",540.96
"08/30/1929",593.97
"09/30/1929",564.94
"10/31/1929",452.36
"11/27/1929",391.86
"12/31/1929",404.13
"01/31/1930",431.88
"02/28/1930",443.76
"03/31/1930",463.07
"04/30/1930",474.64
"05/29/1930",469.59
"06/30/1930",394.65
"07/31/1930",414.05
"08/29/1930",419.7
"09/30/1930",362.9
"10/31/1930",332.7
"11/29/1930",327.41
"12/31/1930",308.76
"01/31/1931",327.93
"02/28/1931",370.08
"03/31/1931",346.7
"04/30/1931",315.48
"05/29/1931",275.76
"06/30/1931",318.26
"07/31/1931",294.65
"08/31/1931",297.44
"09/30/1931",209.77
"10/31/1931",229.01
"11/30/1931",209.42
"12/31/1931",180.23
"01/30/1932",178.8
"02/29/1932",190.53
"03/31/1932",169.2
"04/30/1932",135.92
"05/31/1932",105.73
"06/30/1932",105.56
"07/30/1932",145.35
"08/31/1932",201.39
"09/30/1932",195.4
"10/31/1932",169.58
"11/30/1932",160.8
"12/31/1932",170.44
"01/31/1933",174.34
"02/28/1933",144.42
"03/31/1933",150.45
"04/29/1933",213.98
"05/31/1933",247.93
"06/30/1933",278.38
"07/31/1933",246.13
"08/31/1933",272.25
"09/30/1933",241.32
"10/31/1933",219.96
"11/29/1933",242.55
"12/30/1933",247.95
"01/31/1934",274.22
"02/28/1934",262.17
"03/31/1934",261.92
"04/30/1934",254.86
"05/31/1934",234.15
"06/30/1934",237.24
"07/31/1934",209.91
"08/31/1934",221.28
"09/29/1934",216.83
"10/31/1934",211.48
"11/30/1934",229
"12/31/1934",229.74
"01/31/1935",216.83
"02/28/1935",206.73
"03/30/1935",200.35
"04/30/1935",217.91
"05/31/1935",224.96
"06/29/1935",241.98
"07/31/1935",262.08
"08/31/1935",267.76
"09/30/1935",274.14
"10/31/1935",294.72
"11/30/1935",304.09
"12/31/1935",315.37
"01/31/1936",336.03
"02/29/1936",341.67
"03/31/1936",352.91
"04/30/1936",325.71
"05/29/1936",340.61
"06/30/1936",348.48
"07/31/1936",369.51
"08/31/1936",370.12
"09/30/1936",370.58
"10/31/1936",398.35
"11/30/1936",399.98
"12/31/1936",397.66
"01/30/1937",409.78
"02/27/1937",415.75
"03/31/1937",408.95
"04/30/1937",372.32
"05/28/1937",365.91
"06/30/1937",346.56
"07/31/1937",379.48
"08/31/1937",358.47
"09/30/1937",305.41
"10/30/1937",274.34
"11/30/1937",248.29
"12/31/1937",237.41
"01/31/1938",243.95
"02/28/1938",260.62
"03/31/1938",195.35
"04/30/1938",221.36
"05/31/1938",213.05
"06/30/1938",265.68
"07/30/1938",284.98
"08/31/1938",277.17
"09/30/1938",281.31
"10/31/1938",304.84
"11/30/1938",294.66
"12/31/1938",305.77
"01/31/1939",284.7
"02/28/1939",296.08
"03/31/1939",255.98
"04/29/1939",256.43
"05/31/1939",272.39
"06/30/1939",255.02
"07/31/1939",282.73
"08/31/1939",262.53
"09/30/1939",299.23
"10/31/1939",296.97
"11/30/1939",282.39
"12/30/1939",289.1
"01/31/1940",280.92
"02/29/1940",280.77
"03/30/1940",283.55
"04/30/1940",282.16
"05/31/1940",214.57
"06/29/1940",229.37
"07/31/1940",238.18
"08/31/1940",244.43
"09/30/1940",246.74
"10/31/1940",256.47
"11/30/1940",245.59
"12/31/1940",243.16
"01/31/1941",231.43
"02/28/1941",227.99
"03/31/1941",227.29
"04/30/1941",210.98
"05/31/1941",210.41
"06/30/1941",217.14
"07/31/1941",229.04
"08/30/1941",224.01
"09/30/1941",218.9
"10/31/1941",201.21
"11/29/1941",191.49
"12/31/1941",181.68
"01/31/1942",181.84
"02/28/1942",176.18
"03/31/1942",162.23
"04/30/1942",154.18
"05/29/1942",162.03
"06/30/1942",165.01
"07/31/1942",169.14
"08/31/1942",169.29
"09/30/1942",173.81
"10/31/1942",182.79
"11/30/1942",179.19
"12/31/1942",187.34
"01/30/1943",200.76
"02/27/1943",210.92
"03/31/1943",218.17
"04/30/1943",215.85
"05/29/1943",224.25
"06/30/1943",228.69
"07/31/1943",217.53
"08/31/1943",221.03
"09/30/1943",224.98
"10/30/1943",222
"11/30/1943",205.23
"12/31/1943",217.34
"01/31/1944",220.69
"02/29/1944",220.13
"03/31/1944",223.86
"04/29/1944",219.8
"05/31/1944",228.69
"06/30/1944",238.99
"07/31/1944",232.7
"08/31/1944",234.71
"09/30/1944",233.98
"10/31/1944",233.98
"11/30/1944",234.89
"12/30/1944",241.77
"01/31/1945",245.23
"02/28/1945",260.34
"03/31/1945",248.32
"04/30/1945",270.17
"05/31/1945",271.73
"06/30/1945",267.84
"07/31/1945",262.47
"08/31/1945",277.68
"09/29/1945",289.32
"10/31/1945",298.09
"11/30/1945",307.76
"12/31/1945",309.1
"01/31/1946",330.64
"02/28/1946",309.37
"03/30/1946",320.16
"04/30/1946",330.39
"05/31/1946",335.97
"06/28/1946",319.38
"07/31/1946",293.94
"08/30/1946",267.1
"09/30/1946",237.64
"10/31/1946",231.2
"11/30/1946",223.19
"12/31/1946",230.61
"01/31/1947",236.03
"02/28/1947",232.57
"03/31/1947",224.47
"04/30/1947",215.74
"05/29/1947",213.82
"06/30/1947",224.04
"07/31/1947",230.05
"08/29/1947",220.64
"09/30/1947",212.89
"10/31/1947",217.4
"11/29/1947",210.28
"12/31/1947",211.88
"01/31/1948",200.86
"02/28/1948",193.05
"03/31/1948",208.83
"04/30/1948",210.77
"05/28/1948",226.3
"06/30/1948",225.09
"07/30/1948",210.5
"08/31/1948",211.23
"09/30/1948",204.88
"10/30/1948",219.67
"11/30/1948",197.51
"12/31/1948",204.38
"01/31/1949",205.5
"02/28/1949",199.06
"03/31/1949",205.05
"04/30/1949",199.86
"05/31/1949",193.21
"06/30/1949",191.99
"07/29/1949",205.64
"08/31/1949",207.23
"09/30/1949",211.25
"10/31/1949",219.32
"11/30/1949",218.67
"12/31/1949",230.13
"01/31/1950",235.11
"02/28/1950",237.46
"03/31/1950",237.41
"04/29/1950",248.12
"05/31/1950",256.78
"06/30/1950",240.86
"07/31/1950",239.88
"08/31/1950",245.64
"09/29/1950",258.31
"10/31/1950",257.27
"11/30/1950",255.96
"12/30/1950",264.56
"01/31/1951",276.34
"02/28/1951",274.88
"03/31/1951",268.79
"04/30/1951",281.73
"05/31/1951",269.25
"06/29/1951",262.25
"07/31/1951",280.26
"08/31/1951",291.27
"09/28/1951",288.79
"10/31/1951",283.73
"11/30/1951",280.85
"12/31/1951",290.67
"01/31/1952",295.19
"02/29/1952",286.6
"03/31/1952",300.27
"04/30/1952",286.25
"05/29/1952",292.88
"06/30/1952",305.22
