Month,Oil_USD_per_bbl,Aluminum_USD_per_mt,Copper_USD_per_mt,Nickel_USD_per_mt,Zinc_USD_per_mt,Gold_USD_per_troy_oz,Silver_USD_per_troy_oz
2000-01-01,25.31,1680.28,1843.98,8309.5,1178.8,284.32,5.1882
2000-02-01,27.22096666667,1670.27,1800.83,9653.33,1094.9,299.86,5.2467
2000-03-01,27.49,1577.05,1739.39,10280.11,1116.4,286.39,5.0649
2000-04-01,23.47,1457.14,1678.75,9727.5,1127.6,279.69,5.0645
2000-05-01,27.18666666667,1466.79,1785.62,10130.24,1156.9,275.19,4.9796
2000-06-01,29.62076666667,1506.31,1753.18,8410.91,1117.9,285.73,4.9976
2000-07-01,28.17666666667,1563.5,1799.36,8164.41,1136.2,281.59,4.9692
2000-08-01,29.2629,1527.63,1855.86,8006.71,1169.8,274.47,4.8864
2000-09-01,32.08283333333,1601.21,1960.41,8637.98,1224.4,273.68,4.8904
2000-10-01,31.40016666667,1500.24,1898.59,7678.07,1095.9,270.0,4.8302
2000-11-01,32.331,1473.86,1795.11,7339.77,1059.0,266.01,4.6814
2000-12-01,25.20466666667,1565.41,1850.55,7314.34,1059.8,271.45,4.6398
2001-01-01,25.95727272727,1615.65,1787.5,6994.77,1033.1,265.49,4.6571
2001-02-01,27.23883333333,1604.36,1765.65,6524.13,1020.9,261.87,4.5574
2001-03-01,25.02257575758,1509.17,1738.77,6133.52,1004.7,263.03,4.404
2001-04-01,25.718,1496.91,1664.16,6329.87,969.4,260.48,4.365
2001-05-01,27.54682539683,1538.77,1682.21,7060.83,938.0,272.36,4.4333
2001-06-01,26.96603174603,1466.13,1608.45,6641.19,894.9,270.23,4.3738
2001-07-01,24.80367965368,1416.39,1525.21,5937.05,852.4,267.53,4.2543
2001-08-01,25.82115942029,1377.08,1464.43,5520.8,828.1,272.39,4.2208
2001-09-01,25.20766666667,1344.56,1426.33,5027.0,798.6,283.42,4.353
2001-10-01,20.73188405797,1282.5,1377.28,4825.33,761.5,283.06,4.4012
2001-11-01,18.68818181818,1327.46,1427.73,5078.41,772.9,276.16,4.1226
2001-12-01,18.51978947368,1344.63,1471.74,5263.82,754.7,275.85,4.3695
2002-01-01,19.15481240981,1368.59,1503.96,6043.18,793.2,281.51,4.5149
2002-02-01,19.97523684211,1369.34,1561.9,6029.25,771.3,295.5,4.4232
2002-03-01,23.64066666667,1405.0,1604.88,6537.5,819.3,294.06,4.5393
2002-04-01,25.43424242424,1369.99,1590.33,6958.21,808.2,302.68,4.5757
2002-05-01,25.67234519104,1343.3,1595.68,6761.36,769.5,314.49,4.6992
2002-06-01,24.48805750487,1353.97,1647.53,7119.86,767.1,321.18,4.9044
2002-07-01,25.75474810214,1338.09,1589.46,7142.72,794.9,313.29,4.9186
2002-08-01,26.7758008658,1291.6,1479.55,6717.14,747.6,310.26,4.5403
2002-09-01,28.28079365079,1301.25,1478.71,6640.24,756.2,319.14,4.5536
2002-10-01,27.5268115942,1310.58,1483.76,6804.46,754.7,316.56,4.4013
2002-11-01,24.54248120301,1372.2,1582.29,7313.93,765.3,319.07,4.5108
2002-12-01,27.88698412698,1375.07,1595.68,7193.16,797.7,331.92,4.6313
2003-01-01,30.75031746032,1378.284,1647.66,8026.02,781.409,356.859,4.8062
2003-02-01,32.88337719298,1422.16,1683.8,8623.0,785.15,358.97,4.6551
2003-03-01,30.35920634921,1389.274,1658.976,8378.81,790.952,340.55,4.5283
2003-04-01,25.55596825397,1332.013,1587.475,7910.125,754.65,328.18,4.4932
